DateTime,Wind,SPP Biomass,Thermal-Oil,Major Hydro,Coal,Solar,SPP Minihydro
2026-06-06 00:15:00,173.79691,15.248000000000001,282.98835700000006,402.266623,758.554,2e-06,104.05186999999998
2026-06-06 00:30:00,180.1322,19.882,254.2215250000001,405.04161200000004,757.3662999999999,2e-06,104.97367000000001
2026-06-06 00:45:00,182.44602999999998,19.816,236.21398699999997,397.035773,756.2705000000001,2e-06,114.94357
2026-06-06 01:00:00,181.69444000000001,19.244,210.66564800000003,411.21921199999997,755.3424,2e-06,110.28867000000001
2026-06-06 01:15:00,176.76036,13.932000000000002,211.92161100000004,405.357824,755.2052000000001,2e-06,111.10716999999998
2026-06-06 01:30:00,171.12364999999997,20.147000000000002,212.2894589999999,379.62933100000004,755.2053000000001,2e-06,115.74686999999999
2026-06-06 01:45:00,154.56342999999998,21.334,212.11099000000002,384.96193,755.86,2e-06,115.30727
2026-06-06 02:00:00,183.04042,20.823,212.57684700000004,353.4756739999999,755.86,2e-06,104.01776999999998
2026-06-06 02:15:00,180.60957000000002,16.068,212.4407060000001,356.48073,744.7502,2e-06,107.46807
2026-06-06 02:30:00,186.38232,19.07,198.48526399999997,356.713752,742.8937999999999,2e-06,112.25997
2026-06-06 02:45:00,183.06489000000002,17.889,198.56103400000012,353.934851,734.9038,2e-06,100.98766999999998
2026-06-06 03:00:00,174.04568999999998,14.183,198.73463099999992,360.483702,728.8317999999999,2e-06,101.26886999999998
2026-06-06 03:15:00,180.29847999999998,19.038999999999998,198.571237,353.86215300000003,722.2422,2e-06,99.62056999999997
2026-06-06 03:30:00,181.92131,18.432000000000002,198.83529400000003,354.43419100000006,720.7964,2e-06,102.10246999999997
2026-06-06 03:45:00,176.75625,19.536,198.94394500000007,361.605823,719.1982,2e-06,109.61206999999999
2026-06-06 04:00:00,187.46053,19.619999999999997,201.92932900000005,376.565182,715.7132,2e-06,115.26807
2026-06-06 04:15:00,187.86497000000003,19.591,213.65651900000006,379.96034,714.6932,2e-06,115.49126999999999
2026-06-06 04:30:00,171.36214999999999,19.854,258.76906499999996,356.903951,712.6692,2e-06,102.22776999999999
2026-06-06 04:45:00,196.21125999999998,21.498000000000005,281.00861499999996,363.14680200000004,711.3908,2e-06,103.93456999999998
2026-06-06 05:00:00,178.12094,21.947000000000003,287.64128600000004,384.396321,711.6956,2e-06,96.29787
2026-06-06 05:15:00,178.04757,15.811,291.8327730000001,452.42789200000004,702.3666999999999,2e-06,107.23977000000001
2026-06-06 05:30:00,172.29858,14.221,315.2353999999999,494.23877,698.6839,2e-06,99.13467
2026-06-06 05:45:00,165.79904,11.352,318.4502070000001,561.241561,688.3198,0.6750020000000002,116.58566999999996
2026-06-06 06:00:00,170.33734,13.475,316.76745100000005,599.299033,695.8225,3.9800019999999976,98.49757
2026-06-06 06:15:00,177.78695000000002,14.354999999999999,317.14205999999996,618.825982,687.6963000000001,11.152001999999998,108.61867000000001
2026-06-06 06:30:00,182.19521000000003,17.516000000000002,297.90202,615.753121,689.3551,21.414237999999997,95.85417
2026-06-06 06:45:00,167.78789,19.645,254.89579500000002,590.79719,672.6749,32.52632800000001,97.80296999999999
2026-06-06 07:00:00,174.96644,20.907999999999998,201.47398199999998,585.5432109999999,650.0761,51.694855000000004,114.07136999999996
2026-06-06 07:15:00,178.22984,16.211000000000002,170.51053400000004,538.968142,633.7005,55.655001999999996,104.21186999999999
2026-06-06 07:30:00,167.66827,15.674,136.97873699999997,508.154492,609.1221,64.07900200000002,99.26155999999999
2026-06-06 07:45:00,167.25013,17.959,88.58804099999992,498.909171,606.7329,90.48104000000001,101.03886999999999
