dateTime,energyGWhClean,energyGWhCleanPercentage,energyGWhConventional,energyGWhConventionalPercentage,energyGWhTotal,total,activePowerMWClean,activePowerMWCleanPercentage,activePowerMWConventional,activePowerMWConventionalPercentage,activePowerMWTotal,majorHydroPercentage,smallMiniHydroBMPPercentage,windPercentage,solarPercentage,thermalCoalPercentage,thermalOilPercentage
2026-06-26T23:59:59,27.552535086000006,48.67921362366335,29.0476707,51.320786376336656,56.600205786000004,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-27T23:59:59,25.896858931249994,49.20039558320506,26.73861,50.79960441679494,52.635468931249996,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-28T23:59:59,23.559367197249998,50.43431749707091,23.153602,49.5656825029291,46.71296919725,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-29T23:59:59,21.526496794499995,53.59396677775983,18.639398900000003,46.406033222240175,40.165895694499994,0,0,0,0,0,0,0,0,0,0,0,0
2026-06-30T23:59:59,27.9446231584,54.809502130150655,23.0403741,45.190497869849345,50.9849972584,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-01T23:59:59,28.54020872175,52.16230102392057,26.1740354,47.83769897607944,54.71424412175,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-02T23:59:59,28.053102391975116,49.784026165340585,28.2965032,50.21597383465941,56.34960559197512,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-03T23:59:59,28.28373132499916,50.045112711936625,28.232739100000003,49.954887288063375,56.51647042499916,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-04T23:59:59,26.566510125356384,53.283387969309416,23.292388000000003,46.71661203069058,49.85889812535639,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-05T23:59:59,27.908670206954476,58.00625842510735,20.2045351,41.99374157489265,48.11320530695448,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-06T23:59:59,29.47157558790802,53.7728960521602,25.3359162,46.2271039478398,54.80749178790802,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-07T23:59:59,28.5910258523866,50.537094101493615,27.983311000000004,49.46290589850638,56.57433685238661,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-08T23:59:59,28.260963774879905,48.971948095694835,29.4475099,51.028051904305165,57.708473674879905,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-09T23:59:59,27.5747593425,47.47694977382867,30.505550100000004,52.52305022617133,58.0803094425,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-10T23:59:59,24.610338746720146,43.10752539114386,32.480247,56.89247460885614,57.090585746720144,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-11T23:59:59,26.658055466704123,48.99350090381304,27.753356200000002,51.00649909618696,54.411411666704126,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-12T23:59:59,26.544961298000004,51.984673848159964,24.5180912,48.01532615184003,51.063052498000005,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-13T23:59:59,26.147200959304456,46.31052484541761,30.313400699999995,53.68947515458239,56.46060165930445,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-14T23:59:59,25.08505351159584,44.119914619695805,31.7714788,55.880085380304195,56.85653231159584,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-15T23:59:59,26.917861969999997,47.24325212809359,30.0592951,52.75674787190641,56.97715707,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-16T23:59:59,28.11593314138586,49.65051632710778,28.5117421,50.34948367289222,56.62767524138586,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-17T23:59:59,30.00317636274165,51.860671913487,27.8502514,48.139328086513,57.85342776274165,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-18T23:59:59,29.088676482499995,52.75852919782455,26.046819,47.241470802175456,55.13549548249999,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-19T23:59:59,27.65459221449631,54.2617499933388,23.3105761,45.7382500066612,50.96516831449631,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-20T23:59:59,26.65927368886376,46.61224055128076,30.534444899999997,53.38775944871923,57.19371858886376,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-21T23:59:59,28.26185858391323,48.45996977999229,30.0581501,51.54003022000771,58.32000868391323,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-22T23:59:59,28.829192159000005,48.46499687202996,30.655372,51.53500312797004,59.484564159,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-23T23:59:59,28.647955279281017,47.643481886870134,31.481897,52.356518113129866,60.12985227928102,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-24T23:59:59,28.74434991608618,48.241375402210736,30.8400829,51.758624597789264,59.58443281608618,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-25T23:59:59,26.92036841785876,47.751838738732395,29.4551956,52.248161261267605,56.375564017858764,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-26T23:59:59,28.736163849000004,55.20532590412522,23.3170817,44.79467409587478,52.053245549,0,0,0,0,0,0,0,0,0,0,0,0
