id,pvEstimate,pvEstimate10,pvEstimate90,periodEnd,createdAt,updatedAt
0,0.0,0.0,0.0,2026-06-24T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T00:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T00:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T00:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T01:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T01:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T01:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T01:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T02:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T02:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T02:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T02:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T03:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T03:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T03:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T03:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T04:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T04:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T04:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T04:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T05:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T05:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T05:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T05:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-06-24T06:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0007,0.0,0.0,2026-06-24T06:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,9.6696,0.0,0.0,2026-06-24T06:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,72.22,0.0,0.0,2026-06-24T06:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,139.3149,0.0,0.0,2026-06-24T07:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,276.6992,0.0,0.0,2026-06-24T07:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,365.4813,0.0,0.0,2026-06-24T07:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,477.3264,0.0,0.0,2026-06-24T07:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,589.5759,0.0,0.0,2026-06-24T08:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,688.0839,0.0,0.0,2026-06-24T08:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,795.2801,0.0,0.0,2026-06-24T08:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,916.5801,0.0,0.0,2026-06-24T08:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1025.1958,0.0,0.0,2026-06-24T09:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1103.7905,0.0,0.0,2026-06-24T09:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1183.2515,0.0,0.0,2026-06-24T09:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1237.2524,0.0,0.0,2026-06-24T09:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1299.894,0.0,0.0,2026-06-24T10:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1370.0741,0.0,0.0,2026-06-24T10:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1426.5099,0.0,0.0,2026-06-24T10:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1469.5169,0.0,0.0,2026-06-24T10:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1510.3309,0.0,0.0,2026-06-24T11:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1533.8044,0.0,0.0,2026-06-24T11:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1551.2244,0.0,0.0,2026-06-24T11:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1566.407,0.0,0.0,2026-06-24T11:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1577.8103,0.0,0.0,2026-06-24T12:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1576.9698,0.0,0.0,2026-06-24T12:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1571.8734,0.0,0.0,2026-06-24T12:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1539.9385,0.0,0.0,2026-06-24T12:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,1517.0758,0.0,0.0,2026-06-24T13:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
