id,pvEstimate,pvEstimate10,pvEstimate90,periodEnd,createdAt,updatedAt
0,0.0,0.0,0.0,2026-02-15T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T00:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T00:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T00:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T01:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T01:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T01:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T01:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T02:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T02:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T02:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T02:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T03:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T03:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T03:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T03:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T04:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T04:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T04:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T04:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T05:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T05:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T05:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T05:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T06:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T06:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T06:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.0,0.0,0.0,2026-02-15T06:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,0.4717,0.0,0.0,2026-02-15T07:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,6.3391,0.0,0.0,2026-02-15T07:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,111.6745,0.0,0.0,2026-02-15T07:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,214.4185,0.0,0.0,2026-02-15T07:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,261.4081,0.0,0.0,2026-02-15T08:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,309.7065,0.0,0.0,2026-02-15T08:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,379.8598,0.0,0.0,2026-02-15T08:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,418.1293,0.0,0.0,2026-02-15T08:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,496.3289,0.0,0.0,2026-02-15T09:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,560.1332,0.0,0.0,2026-02-15T09:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,592.6046,0.0,0.0,2026-02-15T09:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,636.8058,0.0,0.0,2026-02-15T09:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,662.2453,0.0,0.0,2026-02-15T10:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,710.4305,0.0,0.0,2026-02-15T10:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,693.6643,0.0,0.0,2026-02-15T10:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,706.2632,0.0,0.0,2026-02-15T10:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,686.3986,0.0,0.0,2026-02-15T11:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,687.5617,0.0,0.0,2026-02-15T11:15:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,663.8687,0.0,0.0,2026-02-15T11:30:00,0001-01-01T00:00:00,0001-01-01T00:00:00
0,666.2974,0.0,0.0,2026-02-15T11:45:00,0001-01-01T00:00:00,0001-01-01T00:00:00
