dateTime,energyGWhClean,energyGWhCleanPercentage,energyGWhConventional,energyGWhConventionalPercentage,energyGWhTotal,total,activePowerMWClean,activePowerMWCleanPercentage,activePowerMWConventional,activePowerMWConventionalPercentage,activePowerMWTotal,majorHydroPercentage,smallMiniHydroBMPPercentage,windPercentage,solarPercentage,thermalCoalPercentage,thermalOilPercentage
2026-06-27T19:15:00,0,0,0,0,0,0,1193.27638,44.029425492145755,1516.9029300000002,55.97057450785424,2710.1793100000004,0,0,0,0,0,0
2026-06-28T19:15:00,0,0,0,0,0,0,1105.743896,44.85578701300524,1359.3647770000002,55.14421298699475,2465.108673,0,0,0,0,0,0
2026-06-29T19:15:00,0,0,0,0,0,0,1183.02965,56.85174351498274,897.873374,43.14825648501724,2080.903024,0,0,0,0,0,0
2026-06-30T19:15:00,0,0,0,0,0,0,1034.724913,38.525336995482725,1651.1047090000002,61.47466300451727,2685.829622,0,0,0,0,0,0
2026-07-01T19:15:00,0,0,0,0,0,0,1182.1745560000002,42.227718401217395,1617.348129,57.77228159878261,2799.522685,0,0,0,0,0,0
2026-07-02T19:00:00,0,0,0,0,0,0,1212.948686,42.2914980098355,1655.118758,57.70850199016449,2868.0674440000003,0,0,0,0,0,0
2026-07-03T19:15:00,0,0,0,0,0,0,1094.269658,39.73457386415685,1659.678734,60.26542613584314,2753.9483920000002,0,0,0,0,0,0
2026-07-04T19:15:00,0,0,0,0,0,0,1354.677732,53.07262743241237,1197.8202270000002,46.927372567587625,2552.4979590000003,0,0,0,0,0,0
2026-07-05T19:15:00,0,0,0,0,0,0,1326.9991610000002,52.82154064426271,1185.231919,47.17845935573728,2512.2310800000005,0,0,0,0,0,0
2026-07-06T19:00:00,0,0,0,0,0,0,1344.873448,47.38763706867597,1493.152525,52.61236293132403,2838.025973,0,0,0,0,0,0
2026-07-07T19:15:00,0,0,0,0,0,0,1248.45824,43.05946052471537,1650.923742,56.94053947528463,2899.381982,0,0,0,0,0,0
2026-07-08T19:00:00,0,0,0,0,0,0,1307.5052620000001,44.213160286527035,1649.7709280000001,55.78683971347295,2957.2761900000005,0,0,0,0,0,0
2026-07-09T19:15:00,0,0,0,0,0,0,1227.938539,41.35070697686935,1741.6323069999999,58.64929302313066,2969.5708459999996,0,0,0,0,0,0
2026-07-10T19:30:00,0,0,0,0,0,0,1105.131461,38.9604310093294,1731.416884,61.03956899067059,2836.548345,0,0,0,0,0,0
2026-07-11T19:15:00,0,0,0,0,0,0,1287.2421729999996,46.24616138224922,1496.215166,53.75383861775078,2783.4573389999996,0,0,0,0,0,0
2026-07-12T19:15:00,0,0,0,0,0,0,1291.566021,49.17241806291039,1335.0406659999999,50.82758193708961,2626.606687,0,0,0,0,0,0
2026-07-13T19:15:00,0,0,0,0,0,0,1240.0076119999999,42.875887655349715,1652.078546,57.12411234465028,2892.086158,0,0,0,0,0,0
2026-07-14T19:15:00,0,0,0,0,0,0,1128.2359099999999,38.703642482759975,1786.82799,61.29635751724001,2915.0639,0,0,0,0,0,0
2026-07-15T19:00:00,0,0,0,0,0,0,1277.957841,43.8518943530164,1636.301303,56.14810564698361,2914.2591439999997,0,0,0,0,0,0
2026-07-16T19:15:00,0,0,0,0,0,0,1263.149431,43.71860568159537,1626.1225650000001,56.28139431840463,2889.2719960000004,0,0,0,0,0,0
2026-07-17T19:15:00,0,0,0,0,0,0,1306.687272,44.949883295282056,1600.299746,55.050116704717944,2906.987018,0,0,0,0,0,0
2026-07-18T19:15:00,0,0,0,0,0,0,1321.1226020000001,46.894848188454475,1496.0794,53.10515181154553,2817.202002,0,0,0,0,0,0
2026-07-19T19:15:00,0,0,0,0,0,0,1410.16881,53.47723078743139,1226.783009,46.52276921256861,2636.951819,0,0,0,0,0,0
2026-07-20T19:15:00,0,0,0,0,0,0,1274.4070299999998,44.10054638503794,1615.3690259999998,55.899453614962056,2889.7760559999997,0,0,0,0,0,0
2026-07-21T19:15:00,0,0,0,0,0,0,1279.5840309999999,43.27680722499823,1677.159114,56.72319277500177,2956.743145,0,0,0,0,0,0
2026-07-22T19:15:00,0,0,0,0,0,0,1347.2518499999999,44.78588247206629,1660.9547000000002,55.21411752793372,3008.20655,0,0,0,0,0,0
2026-07-23T19:15:00,0,0,0,0,0,0,1342.89802,44.136241507714395,1699.7217730000002,55.8637584922856,3042.6197930000003,0,0,0,0,0,0
2026-07-24T19:15:00,0,0,0,0,0,0,1258.2889269999998,42.27040510686833,1718.472057,57.729594893131676,2976.7609839999996,0,0,0,0,0,0
2026-07-25T19:15:00,0,0,0,0,0,0,1261.42607,43.874641558038725,1613.6425920000001,56.12535844196128,2875.068662,0,0,0,0,0,0
2026-07-26T19:15:00,0,0,0,0,0,0,1461.6497,54.72722357690147,1209.141187,45.27277642309852,2670.790887,0,0,0,0,0,0
