stationGroupName,displayName,storageGWh,storageGWhYear0,storageGWhYear1,storageGWhYear2,rainfallmm,fullStorageGWh,storagePercentage,waterLevel,energyGWh,activePowerMW,reactivePowerMvar,dateTime,dateTimeYear0,dateTimeYear1,dateTimeYear2,order,color,status,number
Coal,Coal,0,0,0,0,0,0,0,0,0,0,0,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,101,#823c0c,0,0
Major Hydro,Major Hydro,0,0,0,0,0,0,0,0,0,0,0,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,102,#4473c4,0,0
Thermal-Oil,Thermal-Oil,0,0,0,0,0,0,0,0,0,0,0,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,103,#c75a12,0,0
BMP,SPP Biomass,0,0,0,0,0,0,0,0,0,0,0,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,104,#000000,0,0
MHP,SPP Minihydro,0,0,0,0,0,0,0,0,0,0,0,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,104,#ADD8E6,0,0
Wind,Wind,0,0,0,0,0,0,0,0,0,0,0,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,105,#00b04f,0,0
Solar,Solar,0,0,0,0,0,0,0,0,0,0,0,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,0001-01-01T00:00:00,106,#e8bf09,0,0
